pid;type;title;authors;mentors;source_title;published_date;url;doi;isbn;issn;eissn
ffst:2958;thesis;Denaturalizing Artificial Intelligence in Ted Chiang's The Lifecycle of Software Objects;Grgurevic, Dario;Willems, Brian;;2021;https://urn.nsk.hr/urn:nbn:hr:172:731099;;;;
ffzg:7702;thesis;Marriage of Convenience in Jane Austen’s Pride and Prejudice, Emma and Persuasion;Ðulabic, Ana;Kneževic, Borislav;;7.2.2023;https://urn.nsk.hr/urn:nbn:hr:131:860168;;;;
ffri:1319;thesis;Microbes and Sovereignty;Djordjevic, Edward;Czerny, Sarah;;25.9.2018;https://urn.nsk.hr/urn:nbn:hr:186:063564;;;;
ffri:3243;thesis;Translation of Three Short Stories by Tanja Mravak form Croatian into English;Dadic, Daria;Tutek, Nikola;;27.9.2022;https://urn.nsk.hr/urn:nbn:hr:186:260604;;;;
ffos:6448;thesis;Translating Menus from Croatian into English - Common Mistakes and Approaches;Zundanovic, Dragana;Omazic, Marija;;26.9.2023;https://urn.nsk.hr/urn:nbn:hr:142:087312;;;;
ffri:2454;thesis;Errors in Machine Translation from Croatian to English: a Corpus-based Approach;Zagorec, Dario;Borucinsky, Mirjana;;14.9.2020;https://urn.nsk.hr/urn:nbn:hr:186:395434;;;;
ffos:1220;thesis;Women in Frankenstein: Mary Shelley's Novel versus Kenneth Branagh's Film;Pataki, Jelena;"Beric, Borislav; ";;30.6.2014;https://urn.nsk.hr/urn:nbn:hr:142:404215;;;;
ffri:1409;thesis;The Jezebel Stereotype;Obrazovic, Ivana;Vukelic, Tatjana;;21.9.2018;https://urn.nsk.hr/urn:nbn:hr:186:480668;;;;
ffos:4279;thesis;The relationship between writing strategies and writing anxiety in EFL;Ðumlija, Andrea;Pavicic Takac, Višnja;;26.9.2018;https://urn.nsk.hr/urn:nbn:hr:142:213703;;;;
ffos:4287;thesis;"""The Relationship between Writing Anxiety and Beliefs about Writing in Learners Preparing for the State School-leaving Exam in EFL""";Marelja, Ana Marija;Pavicic Takac, Višnja;;26.9.2018;https://urn.nsk.hr/urn:nbn:hr:142:672577;;;;
ffzg:438;thesis;English as a foreign language: how emotional can it be?;Milanovic, Ivana;Letica Krevelj, Stela;;20.9.2019;https://urn.nsk.hr/urn:nbn:hr:131:370532;;;;
ffos:5996;thesis;The Effect of Self-corrections on the Quality of the Translated Text;Gajic, Nikolina;Werkmann, Ana;;14.7.2022;https://urn.nsk.hr/urn:nbn:hr:142:389652;;;;
unipu:4949;thesis;The Symbolical World of the Wonderful Wizard of Oz;Hercigonja, Ines;Grbic, Igor;;24.9.2020;https://urn.nsk.hr/urn:nbn:hr:137:546932;;;;
ffri:2978;thesis;Translating Multimodal Literature;Ivaniš, Ana;Tutek, Nikola;;27.9.2021;https://urn.nsk.hr/urn:nbn:hr:186:452314;;;;
ffos:4515;thesis;The Use of Communication Strategies and its Relationship with Willingness to Communicate and Speaking Competence in English as a Foreign Language;Gavric, Manda;Molnar, Draženka;;21.11.2018;https://urn.nsk.hr/urn:nbn:hr:142:150286;;;;
ffos:2464;thesis;Dystopian Elements in Veronica Roth's Divergent Trilogy and Its Film Adaptations;Nedic, Igor;Oklopcic, Biljana;;27.9.2017;https://urn.nsk.hr/urn:nbn:hr:142:173461;;;;
ffri:1410;thesis;Translaguaging in an Efl Classroom: Attitudes and Practice;Scopich, Dorotea;Drljaca Margic, Branka;;20.9.2018;https://urn.nsk.hr/urn:nbn:hr:186:847641;;;;
ffri:3217;thesis;Translation of Scientific Texts form Croatian into English;Marušic, Ivona;Tutek, Nikola;;26.9.2022;https://urn.nsk.hr/urn:nbn:hr:186:171472;;;;
ufzg:1509;thesis;Recognizing and Overcoming Language Impairment of Young English Learners;Maltar, Lucija;Cindric, Ivana;;11.7.2019;https://urn.nsk.hr/urn:nbn:hr:147:991927;;;;
ufzg:781;thesis;USA in two world wars;Vesenjak, Mia;Legac, Vladimir;;10.9.2019;https://urn.nsk.hr/urn:nbn:hr:147:056896;;;;
unizd:2643;thesis;Representation of Women in Films: „Psycho“ (1960), „The Silence of the Lambs“ (1991), „Titanic“ (1997) and „Skyfall“ (2012);Žuvela, Ana;Petkovic, Rajko;;6.7.2018;https://urn.nsk.hr/urn:nbn:hr:162:223315;;;;
ufzg:3871;thesis;Character traits and language proficiency in EFL;Schiavon, Anna;Cergol, Kristina;;17.4.2023;https://urn.nsk.hr/urn:nbn:hr:147:606039;;;;
ffos:2704;thesis;"Woman's Question in Contemporary British and American Female Literature as Represented by Doris Lessing's ""The Golden Notebook"" and Alice Walker's ""The Color Purple""";Kovac, Tihana;Oklopcic, Biljana;;11.10.2011;https://urn.nsk.hr/urn:nbn:hr:142:377169;;;;
ffos:1738;thesis;Translating culture-bound terms in simultaneous interpretation;Šimunic, Tomislav;Omazic, Marija;;5.6.2013;https://urn.nsk.hr/urn:nbn:hr:142:751858;;;;
ffri:382;thesis;Anglophone Music as Poetry;Lacmanovic, Matea;Gruic-Grmuša, Lovorka;;9.7.2015;https://urn.nsk.hr/urn:nbn:hr:186:194496;;;;
ffzg:6479;thesis;Detecting Sarcasm in Communication on Twitter;Keckeš, Ines;Grubišic, Marina;;13.9.2022;https://urn.nsk.hr/urn:nbn:hr:131:904278;;;;
ffri:627;thesis;Student Teacher's of English Viewpoints Towards Computer Assisted Language Learning;Gojevic-Zrnic, Marija;Vodopija-Krstanovic, Irena;;28.9.2016;https://urn.nsk.hr/urn:nbn:hr:186:146359;;;;
unizd:3450;thesis;Assessment of Self-Regulation in English Vocabulary Learning among Croatian High School Students;Nebes, Tomislav;Martinovic, Anna;;26.9.2019;https://urn.nsk.hr/urn:nbn:hr:162:685491;;;;
ffos:1004;thesis;"Myths and Stereotypes in Toni Morrison's ""Beloved"" and William Faulkner's ""The Sound and the Fury""";Antolovic, Gordana;Oklopcic, Biljana;;16.9.2013;https://urn.nsk.hr/urn:nbn:hr:142:820273;;;;
ffos:5787;thesis;Vocabulary Learning Strategies in Online Classes;Rišner, Iva;Molnar, Draženka;;30.9.2021;https://urn.nsk.hr/urn:nbn:hr:142:111628;;;;
ffzg:8443;thesis;"From ""Miss Bennet"" to ""Dearest, Loveliest Elizabeth!"" - Translating Directness in Directive Speech Acts from the Perspective of Gender Roles";Curlin, Nika;"Grubišic, Marina; Zgaga, Vinko";;12.7.2023;https://urn.nsk.hr/urn:nbn:hr:131:183505;;;;
ffst:2682;thesis;CROATIAN AND SPANISH EFL LEARNERS’ BELIEFS ABOUT ENGLISH LANGUAGE LEARNING: A FOCUS ON GRAMMAR;Krip, Ina;Šegedin Borovina, Danijela;;2020;https://urn.nsk.hr/urn:nbn:hr:172:965425;;;;
ffzg:2485;thesis;Magical realism and Australian-ness in Lisa Jacobson’s “The Master Builder’s Wife”;Radivoj, Monika;Polak, Iva;;11.9.2020;https://urn.nsk.hr/urn:nbn:hr:131:353221;;;;
ufzg:3232;thesis;Strategies for teaching idioms in EFL;Batinic, Eni;"Parizoska, Jelena; ";;4.7.2022;https://urn.nsk.hr/urn:nbn:hr:147:849787;;;;
unizd:5410;thesis;Racial Issues in Get Out;Lozovina, Dario;Lukic, Marko;;26.5.2021;https://urn.nsk.hr/urn:nbn:hr:162:094982;;;;
ffzg:7437;thesis;Motivation for learning English in transition from pre-primary to primary level: A longitudinal case study;Kuzmanovic, Tena;Letica Krevelj, Stela;;15.2.2023;https://urn.nsk.hr/urn:nbn:hr:131:942659;;;;
ffos:2974;thesis;Strategies of Learning Idioms in English as a Foreign Language;Škrbic, Jelena;Pavicic-Takac, Višnja;;10.3.2011;https://urn.nsk.hr/urn:nbn:hr:142:253077;;;;
unizd:561;thesis;Russianisms in A. Burgess's Novella A Clockwork Orange: Ortographic and Semantic Analysis;Kolega, Lucia;Fabijanic, Ivo;;17.2.2016;https://urn.nsk.hr/urn:nbn:hr:162:045210;;;;
ffzg:1852;thesis;Computational and Psycholinguistic Approaches to Structural Ambiguity: The Case of Garden Path Sentences;Bajac, Petra;Zovko Dinkovic, Irena;;3.7.2020;https://urn.nsk.hr/urn:nbn:hr:131:051663;;;;
ffzg:6991;thesis;Indirect Speech Acts with AI Assistants;Špiranec, Marin;Grubišic, Marina;;1.9.2022;https://urn.nsk.hr/urn:nbn:hr:131:978421;;;;
ffos:3527;thesis;Foreign Language Listening Anxiety: The Relationship between Listening Anxiety and Success in Learning English as a Foreign Language;Bede, Lana;Pavicic Takac, Višnja;;8.7.2011;https://urn.nsk.hr/urn:nbn:hr:142:103922;;;;
ffzg:7100;thesis;Feathers Floating on Fading Dreams: Reading the Swans in Alexis Wright's The Swan Book;Krcan, Irma;Polak, Iva;;30.9.2022;https://urn.nsk.hr/urn:nbn:hr:131:356853;;;;
ffzg:5651;thesis;Limits of Metaphorical Play on Reddit;Slamnig, Viktor;Stanojevic, Mateusz-Milan;;17.1.2022;https://urn.nsk.hr/urn:nbn:hr:131:432394;;;;
unizd:4302;thesis;The Evolution of the Female Lyric 'I' in Sylvia Plath's Poetry;Micarakis, Tihana;Ukic Košta, Vesna;;15.7.2020;https://urn.nsk.hr/urn:nbn:hr:162:345195;;;;
ffzg:3757;thesis;George Orwell and Arthur Koestler Looking Back on the Spanish Civil War;Babic, Marko;Klepac, Tihana;;24.2.2021;https://urn.nsk.hr/urn:nbn:hr:131:318539;;;;
ffos:937;thesis;Human Being as a Legal-Political Subject: Pluralism of Hannah Arendt vs Authoritarianism of Carl Schmitt;Lendic, Slaven;Senkovic, Željko;;24.9.2014;https://urn.nsk.hr/urn:nbn:hr:142:923125;;;;
ffos:4212;thesis;Attitudes towards idioms and idiom learning strategies;Pucelj, Mirna;Pavicic Takac, Višnja;;1.6.2018;https://urn.nsk.hr/urn:nbn:hr:142:609288;;;;
ffos:4247;thesis;"""Translating Nutrition in Non-fiction: Case Study of """"Eat. Stop. Eat."" ""by Brad Pilon""";Zelenika, Jure;"Omazic, Marija; ";;3.9.2018;https://urn.nsk.hr/urn:nbn:hr:142:302854;;;;
ffri:1405;thesis;Unpaired Negative Words: the Case of a Missing Antonym;Kolakovic, Nina;Drljaca Margic, Branka;;20.9.2018;https://urn.nsk.hr/urn:nbn:hr:186:820174;;;;
ffzg:458;thesis;Unique items in translation: Translating 'and' from English into Croatian;Vrhovski, Lucija;Pavlovic, Nataša;;30.9.2019;https://urn.nsk.hr/urn:nbn:hr:131:550488;;;;
ffri:366;thesis;"Dualities and Binary Oppositions in Robert L. Stevenson's ""Treasure Island""";Hanžek, Katarina;Culjat, Sintija;;30.9.2015;https://urn.nsk.hr/urn:nbn:hr:186:682683;;;;
ufzg:3699;thesis;Early Foreign Language Acquisition: An Overview of Theory and Research;Vrcek, Karla;"Andraka, Marija; ";;29.9.2022;https://urn.nsk.hr/urn:nbn:hr:147:488159;;;;
ffos:4607;thesis;From Subordination to Emancipation;Lulic, Dina;Runtic, Sanja;;9.9.2019;https://urn.nsk.hr/urn:nbn:hr:142:544062;;;;
ffos:2849;thesis;Foreign Language Writing Anxiety: A Comparative Study of English and German language;Vukelic, Sanja;Pavicic-Takac, Višnja;;10.3.2011;https://urn.nsk.hr/urn:nbn:hr:142:320529;;;;
ffos:3106;thesis;Dehumanized society in Brave new world and 1984;Kamencak, Dijana;Beric, Borislav;;18.2.2011;https://urn.nsk.hr/urn:nbn:hr:142:840411;;;;
ffos:5343;thesis;The Influence of the Ring on Various Races in J. R. R. Tolkien's The Lord of the Rings;Martinovic, Nera;Matek, Ljubica;;29.9.2020;https://urn.nsk.hr/urn:nbn:hr:142:598979;;;;
ffos:2546;thesis;Status of the Translation Profession in Croatia;Javorcek, Marta;"Omazic, Marija; Šoštaric, Blaženka";;10.7.2017;https://urn.nsk.hr/urn:nbn:hr:142:969797;;;;
ffos:5414;thesis;Man of Steel and Batman v Superman: Dawn of Justice: Superhero Narratives in Post-9/11 Era;Prtenjaca, Zvonimir;Matek, Ljubica;;2.9.2020;https://urn.nsk.hr/urn:nbn:hr:142:688762;;;;
ffos:1403;thesis;The Runic Script and its Characters in Old English and Middle English Texts;Petrinec, Monika;Gradecak Erdeljic, Tanja;;25.9.2013;https://urn.nsk.hr/urn:nbn:hr:142:646193;;;;
ffos:5763;thesis;Problems and Strategies of Translating Humor in Subtitling: Case Study of Friends;Mikolcic, Monika;Schmidt, Goran;;8.10.2021;https://urn.nsk.hr/urn:nbn:hr:142:118892;;;;
ffzg:3016;thesis;A corpus analysis of five neologisms from the area of gender and sexuality studies.;Buntak, Ivana;Grubišic, Marina;;29.9.2020;https://urn.nsk.hr/urn:nbn:hr:131:717977;;;;
ffzg:2647;thesis;A cognitive approach to translating metaphor in self-help discourse: An analysis of Buddha's Brain by Rick Hanson and Richard Mendius and its translation into Croatian;Vuckovic, Marta;Stanojevic, Mateusz-Milan;;15.9.2020;https://urn.nsk.hr/urn:nbn:hr:131:884643;;;;
ffzg:4095;thesis;Pedagogical Dimensions of Using Stories in Enhancing Young Learners' English Learning Motivation;Matoš, Marija;"Geld, Renata; Slunjski, Edita";;17.5.2021;https://urn.nsk.hr/urn:nbn:hr:131:464362;;;;
ffos:5410;thesis;Politeness strategies in Donald Trump's discourse;Pavic, Sven;Milic, Goran;;24.7.2020;https://urn.nsk.hr/urn:nbn:hr:142:292730;;;;
ffzg:7483;thesis;Utopian dream of dystopia in Brave New Word and Nineteen Eighty-four;Harašic, Anita;Polak, Iva;;27.2.2023;https://urn.nsk.hr/urn:nbn:hr:131:705672;;;;
ffri:3949;thesis;Processing Metaphors: a Case Study on Song Lyrics;Došlovic, Sanja;Brala-Vukanovic, Marija;;21.9.2023;https://urn.nsk.hr/urn:nbn:hr:186:159036;;;;
ffri:3908;thesis;Violation of Grice's Maxims in American Sitcoms;Reljac, Silvia;Drljaca Margic, Branka;;20.9.2023;https://urn.nsk.hr/urn:nbn:hr:186:183722;;;;
ffri:3905;thesis;Prijevod teksta s afroamerickog dijalekta na hrvatski jezik;Medanic, Nina;Vukelic, Tatjana;;19.9.2023;https://urn.nsk.hr/urn:nbn:hr:186:591886;;;;
ffos:1425;thesis;Using Internet in Written Production in English Language Classroom;Vukelja, Doris;Pavicic Takac, Višnja;;6.5.2015;https://urn.nsk.hr/urn:nbn:hr:142:455885;;;;
unizd:5083;thesis;„Love is the way“: Poredbena korpusna analiza stilskih i žanrovskih obilježja americke country lirike;Dusper, Rachel;Šimicic, Lucija;;19.10.2018;https://urn.nsk.hr/urn:nbn:hr:162:798322;;;;
ffzg:9852;thesis;Cross-Cultural Research on Video Game Localisation;Novak, Andrej;Nikolic, Kristijan;;13.12.2023;https://urn.nsk.hr/urn:nbn:hr:131:325642;;;;
ffzg:9846;thesis;Female Work Ethic in Louisa May Alcott's Little Women, Jo's Boys and An Old-Fashioned Girl;Ledinski, Maja;Šesnic, Jelena;;11.12.2023;https://urn.nsk.hr/urn:nbn:hr:131:538533;;;;
ffri:3920;thesis;Jezik i percepcija: istraživanje o kreiranju stvarnosti - izgradnja svjetova pomocu jezicnih konstrukcija u djelima znanstvene fantastike;Tadej, Tihana;"Tutek, Nikola; ";;27.9.2023;https://urn.nsk.hr/urn:nbn:hr:186:321260;;;;
ffzg:9881;thesis;Metaphors of Anger: A Comparative Analysis of English and Korean;Andal, Monika;Culig, Janja;;30.11.2024;https://urn.nsk.hr/urn:nbn:hr:131:154426;;;;
ufzg:500;thesis;Learning English through gaming;Jurenec, Petar Krešimir;Cindric, Ivana;;10.7.2018;https://urn.nsk.hr/urn:nbn:hr:147:798696;;;;
ffos:2515;thesis;Website Localization with Special Reference to the Case of Airbnb in Croatian;Beljan, Mirna;Schmidt, Goran;;18.9.2017;https://urn.nsk.hr/urn:nbn:hr:142:178430;;;;
ffzg:7481;thesis;Representations of the French Revolution in Gunpowder Fantasy;Miocevic, Petar;"Polak, Iva; ";;20.2.2023;https://urn.nsk.hr/urn:nbn:hr:131:483104;;;;
ffzg:6655;thesis;Late-stage capitalism in the works of George Saunders;Elijaš, Antonio;Cvek, Sven;;21.9.2022;https://urn.nsk.hr/urn:nbn:hr:131:775885;;;;
unizd:6729;thesis;Consumerism and the crisis of postmodern identities in White Noise, Fight Club and You Too Can Have a Body Like Mine;Šestak, Valentina;Lukic, Marko;;22.9.2022;https://urn.nsk.hr/urn:nbn:hr:162:203812;;;;
ffos:5113;thesis;Feminist Pedagogy in the Works of Chimamanda Ngozi Adichie;Božic, Kristina;Oklopcic, Biljana;;11.9.2020;https://urn.nsk.hr/urn:nbn:hr:142:478797;;;;
ffos:6455;thesis;Feminist Thought in Literary Works of Mary Wollstonecraft and Jane Austen;Juretic, Karolina;Matek, Ljubica;;11.9.2023;https://urn.nsk.hr/urn:nbn:hr:142:618111;;;;
ffzg:279;thesis;Povijest židovske zajednice na Indijskom potkontinentu;Pocivavšek, Iva;"Krnic, Krešimir; Da-Don, Kotel";;2019;https://urn.nsk.hr/urn:nbn:hr:131:940013;;;;
ufzg:3704;thesis;Mindfulness for English Language Teachers;Bušic, Rea;Cergol, Kristina;;29.9.2022;https://urn.nsk.hr/urn:nbn:hr:147:669972;;;;
ffzg:7349;thesis;Strategic Construal and Visual Representation of English Particle Verbs by Croatian High School Learners;Brecevic, Enio;Geld, Renata;;26.1.2023;https://urn.nsk.hr/urn:nbn:hr:131:414111;;;;
ffri:1468;thesis;A Corpus-Based Study of English Prepositions Over and Above and Croatian Prepositions nas, znad and preko;Floricic, Ajrin;Memiševic, Anita;;26.9.2017;https://urn.nsk.hr/urn:nbn:hr:186:598792;;;;
ffzg:4693;thesis;Imagining the Apocalypse in Stephen King's The Stand;Bakic, Lucija;Cvek, Sven;;7.9.2021;https://urn.nsk.hr/urn:nbn:hr:131:782794;;;;
ffzg:6108;thesis;Inductive and deductive approaches to teaching EFL grammar: Teachers’ attitudes;Blaškovic, Leonarda;Letica Krevelj, Stela;;9.6.2022;https://urn.nsk.hr/urn:nbn:hr:131:462378;;;;
ffzg:6352;thesis;Politeness strategies in customer-company communication on social media in Turkish and in English;Vincekovic, Ivana;"Grubišic, Marina; Kerovec, Barbara";;14.7.2022;https://urn.nsk.hr/urn:nbn:hr:131:150374;;;;
unizd:7244;thesis;Exploration of Counterculture Feminism Through the Novels The Group, The Bell Jar, and I’m With the Band;Martinic, Sara;Lukic, Marko;;3.3.2023;https://urn.nsk.hr/urn:nbn:hr:162:313434;;;;
ffzg:4669;thesis;Conservatism in the U.S.: The Rise of a New Counterculture;Grguric, Kristijan;Grgas, Stipe;;18.6.2021;https://urn.nsk.hr/urn:nbn:hr:131:609064;;;;
ffzg:4999;thesis;America Through Its Inaugural Poems;Uremovic, Mia;Grgas, Stipe;;20.9.2021;https://urn.nsk.hr/urn:nbn:hr:131:557607;;;;
ffos:1537;thesis;"Strategies of translating culture-bound items in ""Gilmore Girls""";Milovanovic, Bojana;Omazic, Marija;;29.3.2012;https://urn.nsk.hr/urn:nbn:hr:142:786879;;;;
ffos:790;thesis;Identity, Society, and Gender in British and American Quest Romance;Vaci, Dajana;Runtic, Sanja;;30.1.2015;https://urn.nsk.hr/urn:nbn:hr:142:735808;;;;
ffos:5655;thesis;Scripts and Counter-Scripts of Gender in Contemporary Feminist Dystopia;Špiranec, Karla;Oklopcic, Biljana;;9.7.2021;https://urn.nsk.hr/urn:nbn:hr:142:770865;;;;
ffri:148;thesis;A Populationist Approach to Qualitative Social Research: Towards the Theory of Semiotic Stakeholding;Zubcic, Marko-Luka;Prijic-Samaržija, Snježana;;2.6.2015;https://urn.nsk.hr/urn:nbn:hr:186:139313;;;;
ffri:3573;thesis;The use of anglicism in the Croatian daily newspaper;Macan, Matea;Drljaca Margic, Branka;;12.12.2022;https://urn.nsk.hr/urn:nbn:hr:186:332620;;;;
ffzg:489;thesis;Satan as the hero of Paradise Lost;Tvrtkovic, Mak;Brlek, Tomislav;;11.10.2019;https://urn.nsk.hr/urn:nbn:hr:131:756766;;;;
ffst:2352;thesis;SUVREMENA ETNOGRAFIJA NEMATERIJALNE KULTURNE BAŠTINE POLJICKOG KRAJA;Škarica, Leonora;Dragic, Marko;;16.12.2019;https://urn.nsk.hr/urn:nbn:hr:172:290272;;;;
ffos:1702;thesis;Magical Realism in Contemporary American Ethnic Writing;Mudrovcic, Tihana;Runtic, Sanja;;31.8.2012;https://urn.nsk.hr/urn:nbn:hr:142:082633;;;;
ffzg:1831;thesis;Translation of User Manuals from Croatian into English;Koncar, Jelena;Nikolic, Kristijan;;1.7.2020;https://urn.nsk.hr/urn:nbn:hr:131:825329;;;;
ffzg:6043;thesis;A comparison of the educational potential of professional cloud-based and free, standalone desktop-based subtitling tools;Bekafigo, Andrea;Nikolic, Kristijan;;11.5.2022;https://urn.nsk.hr/urn:nbn:hr:131:088368;;;;
ffzg:5678;thesis;Gender Bias in English Language Textbooks;Sedmak, Stella;"Grubišic, Marina; ";;27.1.2022;https://urn.nsk.hr/urn:nbn:hr:131:449876;;;;
ufzg:3319;thesis;Awareness and Use of CLIL in ELT in Lower Primary Education;Travica, Marta;Cindric, Ivana;;13.7.2022;https://urn.nsk.hr/urn:nbn:hr:147:710821;;;;
unizd:7108;thesis;A Return to Once Upon a Time, Rewriting the Image of Traditional Womanhood in Contemporary Women's Writing;Vranic, Nikolina;Ukic Košta, Vesna;;22.2.2023;https://urn.nsk.hr/urn:nbn:hr:162:480260;;;;
ffzg:8312;thesis;Exposure to the English language on the internet: comparing Croatian and French university students;Volaric Horvat, Laura;Letica Krevelj, Stela;;4.7.2023;https://urn.nsk.hr/urn:nbn:hr:131:038143;;;;
ffri:3666;thesis;Translating Prose Fiction: Janko Leskovar's Short Stories in English Translation;Dojcinovic, Nina;Lupic, Ivan;;29.9.2023;https://urn.nsk.hr/urn:nbn:hr:186:152466;;;;
ufzg:1;thesis;Reading Comprehension Based on Neologisms in the Harry Potter Series;Marušic, Katarina;Šamo, Renata;;2015-09;https://urn.nsk.hr/urn:nbn:hr:147:999686;;;;
